Customer,Name,Customer Short Name
DII107,"ISUZU ENGINE MANUFACTURING CO.,(THAILAND) LTD.",IEMT
DII128,"ISUZU GLOBAL CV ENGINEERING CENTER CO.,LTD.",IGCE
DIZ124,INERGY AUTOMOTIVE SYSTEMS(THAILAND)LTD.,INERGY
DKH072,"KEIHIN (THAILAND) CO.,LTD.",KTL
DKZ015,"KOYO JOINT (THAILAND)CO.,LTD.",KJT
DKZ068,"KYB (THAILAND) CO.,LTD.",KYB
DKZ069,"KYB (THAILAND) CO.,LTD.",KYB
DMH056,"MITSUBISHI MOTORS (THAILAND) CO.,LTD",MMTH
DMH090,"MITSUBISHI MOTORS (THAILAND) CO.,LTD.",MMTH
DMH099,"MMTH ENGINE CO.,LTD",MEC
DMM016,"MITSUBISHI FUSO TRUCK(THAILAND).,LTD",MFTT
DMM017,"MITSUBISHI MOTORS(THAILAND)CO.,LTD",MMTH
DMM070,"MITSUBISHI FUSO TRUCK(THAILAND).,LTD",MFTT
DMM076,"MITSUBISHI FUSO TRUCK (THAILAND) CO.,LTD.",MFTT
DMM077,"FUSO TRUCK (THAILAND) CO.,LTD.",FTT
DMM103,"MARUKA MACHINE(THAILAND)CO.,LTD.",MMT
DMZ052,"MARUYASU INDUSTRIES (THAILAND) CO.,LTD.",MIT
DMZ098,"MAZDA SALES(THAILAND)CO.,LTD.",MST
DMZ102,"M&T ALLIED TECHNOLOGIES CO.,LTD.",MTAT
DMZ108,"MARUKA EXPORT(THAILAND)CO.,LTD.",MET
DNN019,"NHK SPRING(THAILAND)CO.,LTD.",NHK
DNN020,"NHK SPRING(THAILAND)CO.,LTD.",NHK
DNZ054,"NTN MANUFACTURING (THAILAND)CO.,LTD.",NTN
DNZ055,"NISSAN MOTOR (THAILAND) CO.,LTD",NMT
DNZ087,"NIFCO (THAILAND) CO.,LTD.",NIFCO
DNZ095,"NISSAN TRADING(THAILAND) CO.,LTD",NTT
DNZ101,"NITTSU SHOJI(THAILAND).,LTD.",NITTSU
DNZ110,"NITOMO CO.,LTD.",NTM
DNZ132,"NISSIN BRAKE (THAILAND) CO.,LTD.",NBT
DPZ127,PLASTIC OMNIUM AUTO INNERGY(THAILAND) LTD.,POAI
DSN023,"NISSAN MOTOR (THAILAND) CO.,LTD.",NMT
DSN091,"NISSAN MOTOR (THAILAND) CO.,LTD.",NMT
DSN100,"NISSAN MOTOR ASIA PACIFIC CO.,LTD.",NMAP
DSN130,"NISSAN MOTOR (THAILAND) CO.,LTD.",NMT
DSS031,"SIAM AISIN CO.,LTD.",SA
DST034,"TOYOTA DAIHATSU ENGINEERING&MANUFACTURING CO.,LTD.",TDEM
DST035,"TOYOTA DAIHATSU ENGINEERING&MANUFACTURING CO.,LTD.",TDEM
DST092,"SIAM TOYOTA MANUFACTURING CO.,LTD",STM
DST136,"TOYOTA DAIHATSU ENGINEERING&MANUFACTURING CO.,LTD.",TDEM
DSZ024,"JTEKT (THAILAND) CO.,LTD.",JTCS
DSZ025,"SNN TOOLS&DIES CO.,LTD.",SNN
DSZ026,"SOMBOON MALLEABLE IRON INDUSTRIAL CO.,LTD",SBM
DSZ027,"SUMMIT SHOWA MANUFACTURING CO.,LTD.",SSM
DSZ051,"SUMITOMO CORPORATION THAILAND,LIMITED",SCGL
DSZ057,"SOMBOON MALLEABLE IRON INDUSTRIAL CO.,LTD",SBM
DSZ065,"SIAM YACHIYO CO.,LTD.",SYC
DSZ079,"SUZUKI MOTOR (THAILAND) CO.,LTD.",SMT
DSZ084,"SUZUKI MOTOR (THAILAND) CO.,LTD.",SMT
Z0194,บริษัท แบงค์คอก ฟอร์คลิฟท์ แอนด์ เซอร์วิส จำกัด,
Z0198,MASTER RECYCLE LIMITED PARTNERSHIP,
DSZ149,"SAKURAI MFG (THAILAND) CO.,LTD",SMT
Z0216,"TDA RUBBER CORPORATION CO.,LTD.",
DHZ220,HITACHI ASTEMO LAMPHUN LTD.,THLP
DMZ233,"MARELLI (THAILAND) CO., LTD",MTH
ETE234,TOKYO ZAIRYO MEXICO S.A. DE C.V.,TZMX
DAA240,AUTOALLIANCE (THAILAND) COMPANY LTD,AAT
DTZ145,"TAISEI PLAS (THAILAND) CO.,LTD",TPT
Z0196,นาย นัฐพล  ทับทิม,
Z0197,บริษัท กวงเส็ง เฮง เฮง เฮง จำกัด,
Z0019,"RANK GROUP CO.,LTD.",
Z0207,"NAP TRANSPOT CO.,LTD",
Z0228,บริษัท พี แอนด์ เอส ทรานส์ เซอร์วิส จำกัด,
ESE241,SUMITOMO RIKO EUROPE GMBH,SRK-EU
Z0193,นางดารา  สุวรรณพฤกษ์,
Z0199,บริษัท พี แอนด์ เอ็น ฟอร์คลิฟท์ จำกัด,
DTZ147,"THAI STARLITE MANUFACTURING CO.,LTD.",TSM
Z0236,บริษัท กรุงเทพชลกิจ จำกัด,
DMZ243,MUBEA SOMBOON AUTOMOTIVE COMPANY LIMITED,MSA
DHZ244,HITACHI ASTEMO ASIA LTD.,THAS
Z0200,นายศราวุฒิ รุ่งฉวี,
EDE057,PT.ASTRA NTN DRIVESSHAFT INDONESIA(ANDIN),ANDIN
Z0206,นายณัฐพัชร์ งามสม,
Z0210,"SRIRACHA GREEN POINT GROUP CO.,LTD.",
Z0217,นาย ณัฐชัย นกดำ,
DAA224,"AUTOALLIANCE (THAILAND) CO.,LTD.",AAT-DM
DAA225,"AUTOALLIANCE (THAILAND) CO.,LTD.",AAT-EX
DFZ226,FORD MOTOR COMPANY (THAILAND) LIMITED.,FTM-EX
DFZ227,FORD MOTOR COMPANY (THAILAND) LIMITED.,FTM-DM
EFE235,FORD MOTOR COMPANY OF AUSTRALIA PTY LIMITED,FOA
DSZ144,"SUNPOLYTECH CO.,LTD",SPT
DCZ146,"C.A.S.H.AUTOPARTS CO.,LTD.",CASH
Z0209,นาย ศิวัฒน์  สุขกระดาษ,
Z0231,บริษัท เจเจ เซ็นเตอร์ คาร์ จำกัด,
EFZ232,FORD VIETNAM LIMITED,FVL
DAZ237,"FTS AUTOMOTIVE (THAILAND) CO.,LTD",FTS
DAZ238,"FTS AUTOMOTIVE (THAILAND) CO.,LTD.",FTS
DTZ239,"TYK FILTERS CO.,LTD.",TYK
Z0095,น.ส.ลัดดาวรรณ พนมโสภณ,
Z0175,นายจารึก ทองลอย,
ESE056,"SUMIRIKO TECHNICAL CENTER AMERICA,INC.",TCA
Z0205,บริษัท มูซาชิออโตพาร์ท จำกัด,
Z0211,หจก.วี.พี.เอ.เซอร์วิส,
Z0212,บริษัท เฟิร์ส เอด เซอร์วิส จำกัด,
Z0213,"PHANTAWAN PHANMAI LTD.,PART.",
Z0214,"RAKSAKHAMPLODPAI P.S.P. CO.,LTD.",
Z0215,"SECURITY GUARD KHOTCHASARN CO.,LTD.",
DPZ150,"POLYNET CO.,LTD",POL
DHZ221,HITACHI ASTEMO KORAT LTD.,AS-TK
DHZ222,HITACHI ASTEMO CHONBURI MANUFACTURING LTD.,HACM
Z0229,"CHAROENKIT AUTOAIR CO., LTD",
DTT148,"TOYOTA DAIHATSU ENGINEERING & MANUFACTURING CO.,LTD.",TDEM
Z0204,"NISSAN MOTOR(THAILAND)CO.,LTD",NMT
EFE242,FORD TECHNOLOGIES LIMITED,FTL
DHZ223,HITACHI ASTEMO CHONBURI REGIONAL CENTER LTD.,HRCT
Z0195,นาย สายันญ์ หาญศึก,
Z0201,นาย มานนท์  กลิ่นขำ,
Z0202,บริษัท เคเอ็นออโต้เทรด จำกัด,
Z0203,บริษัท เอ แอนด์ เอ วินเนอร์ จำกัด,
Z0208,"SANDSOR CO.,LTD",
DFZ151,FORD MOTOR COMPANY (THAILAND) LIMITED.,FTM
Z0218,บริษัท แครี่ ซัพพลายเชน จำกัด,
Z0219,บริษัท ซีพี ออลล์ จำกัด (มหาชน),
DCZ230,"CHUHATSU (THAILAND) CO.,LTD",CTC
EFE058,FORD MOTOR COMPANY,FNA
